hg_proto,hg_poll,hg_byploc,nranks,rounds,rwarmup,npivots,mean,std,min,max
bmi+tcp,0,0,16,1,0,256,42439.0,0.0,42439,42439
bmi+tcp,0,0,16,1,0,512,42306.0,0.0,42306,42306
bmi+tcp,0,0,16,1,0,1024,37933.0,0.0,37933,37933
bmi+tcp,0,0,16,1,0,2048,41282.0,0.0,41282,41282
bmi+tcp,0,0,16,1,0,4096,51477.0,0.0,51477,51477
bmi+tcp,0,0,16,1,0,8192,48025.0,0.0,48025,48025
bmi+tcp,0,0,32,1,0,256,78336.0,0.0,78336,78336
bmi+tcp,0,0,32,1,0,512,54271.0,0.0,54271,54271
bmi+tcp,0,0,32,1,0,1024,44691.0,0.0,44691,44691
bmi+tcp,0,0,32,1,0,2048,54218.0,0.0,54218,54218
bmi+tcp,0,0,32,1,0,4096,63584.0,0.0,63584,63584
bmi+tcp,0,0,32,1,0,8192,67917.0,0.0,67917,67917
bmi+tcp,0,0,64,1,0,256,60309.0,0.0,60309,60309
bmi+tcp,0,0,64,1,0,512,51570.0,0.0,51570,51570
bmi+tcp,0,0,64,1,0,1024,76431.0,0.0,76431,76431
bmi+tcp,0,0,64,1,0,2048,61355.0,0.0,61355,61355
bmi+tcp,0,0,64,1,0,4096,64021.0,0.0,64021,64021
bmi+tcp,0,0,64,1,0,8192,65082.0,0.0,65082,65082
bmi+tcp,0,0,128,1,0,256,129390.0,0.0,129390,129390
bmi+tcp,0,0,128,1,0,512,154147.0,0.0,154147,154147
bmi+tcp,0,0,128,1,0,1024,143783.0,0.0,143783,143783
bmi+tcp,0,0,128,1,0,2048,178900.0,0.0,178900,178900
bmi+tcp,0,0,128,1,0,4096,169362.0,0.0,169362,169362
bmi+tcp,0,0,128,1,0,8192,142948.0,0.0,142948,142948
bmi+tcp,0,0,256,1,0,256,191670.0,0.0,191670,191670
bmi+tcp,0,0,256,1,0,512,171250.0,0.0,171250,171250
bmi+tcp,0,0,256,1,0,1024,164375.0,0.0,164375,164375
bmi+tcp,0,0,256,1,0,2048,192422.0,0.0,192422,192422
bmi+tcp,0,0,256,1,0,4096,180303.0,0.0,180303,180303
bmi+tcp,0,0,256,1,0,8192,176249.0,0.0,176249,176249
bmi+tcp,0,0,512,1,0,256,206775.0,0.0,206775,206775
bmi+tcp,0,0,512,1,0,512,203566.0,0.0,203566,203566
bmi+tcp,0,0,512,1,0,1024,211468.0,0.0,211468,211468
bmi+tcp,0,0,512,1,0,2048,226469.0,0.0,226469,226469
bmi+tcp,0,0,512,1,0,4096,238009.0,0.0,238009,238009
bmi+tcp,0,0,512,1,0,8192,269146.0,0.0,269146,269146
bmi+tcp,0,0,1024,1,0,256,187310.0,0.0,187310,187310
bmi+tcp,0,0,1024,1,0,512,237271.0,0.0,237271,237271
bmi+tcp,0,0,1024,1,0,1024,231019.0,0.0,231019,231019
bmi+tcp,0,0,1024,1,0,2048,218098.0,0.0,218098,218098
bmi+tcp,0,0,1024,1,0,4096,232576.0,0.0,232576,232576
bmi+tcp,0,0,1024,1,0,8192,207059.0,0.0,207059,207059
bmi+tcp,0,0,2048,1,0,256,318880.0,0.0,318880,318880
bmi+tcp,0,0,2048,1,0,512,278683.0,0.0,278683,278683
